Dataset,Vehicle 1 Route Distance,Vehicle 2 Route Distance,Total distance travelled across vehicle to deliver all orders
part_b_input_dataset_1 ,12.22,13.7,25.92
part_b_input_dataset_2 ,15.19,17.12,32.31
